,CONF,DEC,MASK_NUM,OII,OII_err,RA,bit_code,gmag,redz,rmag,zmag,mask_name
102,-999,0.801317707044,0,0.0,-1.0,11.8256937229,1008,23.637421211,-999.0,23.5319729727,22.7353185733,st82-1hr
103,3,0.796473105305,0,20.9163079255,0.533437886502,11.8309380742,240,23.0434516658,0.8824,22.6863457552,22.088076333,st82-1hr
104,3,0.793895021808,0,7.01225196748,0.189741951154,11.8338191641,2032,23.0249744469,1.3379,22.7164393012,21.8525333086,st82-1hr
105,-999,0.761607060793,0,0.0,-1.0,11.8417012919,128,23.8016699121,-999.0,23.6570648646,23.0913018524,st82-1hr
106,3,0.835166636706,0,7.32680431285,0.175681514077,11.8335895853,2032,23.5493030335,1.0113,23.0958048751,22.0841892482,st82-1hr
107,3,0.759350438899,0,9.60255923233,0.221789232111,11.8491154408,32,23.9080691406,0.726,23.590417901,22.7836343799,st82-1hr
108,3,0.819878693256,0,32.1880468465,0.702151093292,11.8431156716,208,22.8396616987,1.1357,22.7021624274,22.2254983926,st82-1hr
109,3,0.763977013199,0,1.65955882218,0.342519769716,11.8557752102,128,23.5979742273,0.41385,23.4102989122,23.0514767155,st82-1hr
110,-999,0.87929979924,0,0.0,-1.0,11.8383182385,4,23.001678219,-999.0,21.457520099,19.2787398601,st82-1hr
111,-999,0.772930004638,0,0.0,-1.0,11.8625344342,2,20.1587094887,-999.0,19.8662325851,19.7898104267,st82-1hr
112,-999,0.85298197924,0,0.0,-1.0,11.8508552385,4,17.0077736038,-999.0,16.0030344162,15.2474775932,st82-1hr
113,-999,0.768808598827,0,0.0,-1.0,11.8689281484,2032,22.7579386191,-999.0,22.3575339957,21.3717629845,st82-1hr
114,3,0.822003352942,0,12.5866273016,0.561712393831,11.8635174418,1808,22.676376066,1.009,21.9451422528,20.658179703,st82-1hr
115,3,0.755398892566,0,9.18190846051,0.233133540952,11.8844159078,1648,23.3722946652,1.076,22.851998627,22.1467539301,st82-1hr
116,-999,0.76385755924,0,0.0,-1.0,11.8859742385,4,21.9404052403,-999.0,20.3981652968,19.0280782503,st82-1hr
117,3,0.841305127664,0,52.2826926741,0.902102486476,11.8777059568,2032,22.8835238649,0.97045,22.3903066083,21.5109742801,st82-1hr
118,1,0.779273356177,0,9.35308932002,0.195904288789,11.891169632,128,23.7470704572,1.259,23.5664617568,23.1432249069,st82-1hr
119,-999,0.883082969704,0,0.0,-1.0,11.8762285541,1792,22.1069903439,-999.0,21.2597810769,19.8290253747,st82-1hr
120,-999,0.857081237736,0,0.0,-1.0,11.883757393,144,23.0108415226,-999.0,22.2326782937,21.1124889699,st82-1hr
121,3,0.852431304783,0,12.0919171955,1.0694014432,11.88886129,1776,23.4141994788,1.1076,23.1113005099,22.5323452003,st82-1hr
122,-999,0.871787435423,0,0.0,-1.0,11.8874137881,1536,23.2357900877,-999.0,23.2082235414,22.9337383612,st82-1hr
123,3,0.816640878977,0,22.2056361817,0.59127876883,11.9017169473,2080,23.556606479,0.75605,22.9978197508,22.2931092798,st82-1hr
124,3,0.869699623773,0,12.5759806104,0.488994732984,11.8952677197,848,23.6707927099,1.01535,23.325427264,22.1017191306,st82-1hr
125,3,0.882427805771,0,9.39495634678,0.234942006555,11.8956853773,1008,23.6186925425,0.99665,23.0872940601,22.1295678555,st82-1hr
126,-999,0.870209938161,0,0.0,-1.0,11.9016502061,1792,23.1166262534,-999.0,22.3559087893,20.7858182973,st82-1hr
127,-999,0.796398941828,0,0.0,-1.0,11.9182307697,96,23.7125541795,-999.0,23.3741330459,22.6933139206,st82-1hr
