ra dec psfMag_u psfMag_g psfMag_r psfMag_i psfMag_z extinction_r propermotion angle run rerun camCol field obj objID
240.270081006196 42.8187519161055 20.50852 19.66296 19.336 19.22096 19.11605 0.02517319 0.2828427 45 3705 301 5 242 187 1237661388150800571
240.142386809402 43.0247521474617 20.69471 19.61598 19.31221 19.13882 19.07845 0.0340479 0 0 3705 301 5 241 199 1237661388150735047
243.305052254833 43.8396711840899 20.97417 20.19521 19.90904 19.79986 19.60995 0.02684607 0 0 3226 301 6 66 480 1237659331386802656
243.316132171104 43.7922382469671 19.43174 18.56213 18.26167 18.18659 18.11853 0.02530491 1 180 3226 301 6 66 298 1237659331386802474
243.310271055341 43.7902740996445 20.4679 19.51128 19.19887 19.10671 19.16481 0.02519992 0 0 3226 301 6 66 294 1237659331386802470
246.490046988634 40.3955366669451 20.60815 19.52839 19.27274 19.16839 19.03864 0.01892874 0 0 3226 301 5 94 177 1237659330851766449
242.533142852242 43.6182898210945 20.7149 19.77899 19.44157 19.3674 19.35582 0.02547958 0 0 3226 301 5 65 190 1237659330849865918
242.535656768324 43.6704217134805 20.47892 19.64447 19.3751 19.28655 19.31385 0.02657665 1 53.1301 3226 301 5 64 336 1237659330849800528
242.535485494576 42.9247076398822 20.38913 19.36877 19.11404 19.03016 18.99859 0.02412202 0 0 3226 301 4 68 231 1237659330313191655
242.530242106514 43.2038251765426 19.49554 18.71214 18.41846 18.32784 18.30622 0.0309069 0 0 3226 301 4 67 252 1237659330313126140
244.231354127813 44.1991558472412 20.1237 19.16701 18.90087 18.83312 18.80617 0.02981637 0 0 2299 301 3 310 228 1237655348357497060
244.236828653612 43.1686622221714 19.16663 18.28312 18.00104 17.89061 17.83336 0.0331344 0.8 -90 3225 301 6 210 245 1237659327101272309
243.162611458146 40.1868609527627 20.98608 20.10597 19.76534 19.64283 19.61578 0.03097076 0 0 3705 301 4 265 241 1237661387615437041
242.908487743637 40.2937618182904 19.9098 18.9216 18.60948 18.52493 18.51468 0.02413474 0 0 3705 301 4 264 330 1237661387615371594
244.231289155745 44.433042973332 19.80707 18.85198 18.58163 18.50966 18.57852 0.0292447 0 0 2299 301 3 308 337 1237655348357366097
246.079810202247 43.2488355187381 19.64433 18.64752 18.32799 18.22664 18.19574 0.03050444 0.8485281 -45 2299 301 4 320 261 1237655348895023365
244.140368987777 41.1007356726122 20.84561 20.02804 19.74461 19.63741 19.58868 0.01651588 0 0 4629 301 5 176 236 1237665356696256748
241.31232090957 42.159910336734 21.00654 20.15781 19.81677 19.74424 19.75743 0.02744199 0 0 3705 301 5 249 167 1237661388151259303
241.315985613476 42.3286774652449 20.23192 19.17416 18.88581 18.78192 18.79203 0.03118916 0 0 3187 301 6 95 170 1237659163884978346
240.922147658421 42.5989293062194 19.3512 18.45196 18.16897 18.0476 18.07027 0.02779136 0.8485281 135 3187 301 6 92 308 1237659163884781876
242.118473418098 41.2015222049781 20.31421 19.46294 19.2068 19.14502 19.04258 0.01701913 1.077033 -21.80141 3187 301 5 103 250 1237659163348631802
241.326081456387 41.7046144185957 20.37833 19.43583 19.18701 19.11766 19.11103 0.02848482 0 0 3187 301 5 98 194 1237659163348304066
240.920209422277 42.0587420752015 21.20185 20.25589 20.01319 19.89357 19.89524 0.02615713 0 0 3187 301 5 95 183 1237659163348107447
242.120974501688 40.4929576744833 20.39764 19.56806 19.2527 19.1142 19.15495 0.02261822 0 0 3187 301 4 106 270 1237659162811957518
240.92237672724 41.6224769943325 20.34618 19.37541 19.06438 18.93485 18.93967 0.01932658 0 0 3187 301 4 97 159 1237659162811367583
241.316395478871 40.1068145259126 20.52861 19.59686 19.32118 19.26171 19.23416 0.03899364 0 0 3187 301 2 105 234 1237659161738150122
240.157665160546 40.3379418107126 20.59994 19.68092 19.37746 19.28693 19.2006 0.03400054 0 0 3187 301 1 100 351 1237659161200951647
247.047186103378 40.4162103039829 20.79351 20.00227 19.71536 19.6153 19.66432 0.01823029 0 0 2305 301 1 46 437 1237655373036257717
243.763844846777 43.9550253819259 19.85001 18.9197 18.64691 18.57322 18.55201 0.02639039 0 0 2299 301 2 309 306 1237655347820560690
245.497755336231 41.9407594883751 21.3164 20.30276 20.024 19.83856 19.78197 0.01981476 0 0 2299 301 1 325 494 1237655347284738542
244.227442421577 42.4431101258661 20.56595 19.73977 19.46012 19.39435 19.23134 0.03588615 0.7211103 123.6901 4629 301 5 185 366 1237665356696846702
244.22794842097 41.1733678257064 20.27878 19.37124 19.15363 19.05522 18.99158 0.01643195 0 0 4629 301 5 177 204 1237665356696322252
246.08629283994 40.1650528334855 20.54106 19.63182 19.34471 19.1714 19.02748 0.02357821 1.077033 21.80141 3226 301 4 94 130 1237659330314895490
249.455147730031 40.764978945126 19.31291 18.4099 18.16124 18.05519 18.08087 0.01827496 0 0 2305 301 5 51 367 1237655375184068975
249.456215476173 40.7877465328256 20.00125 19.08689 18.82399 18.70547 18.69378 0.01779659 0 0 2305 301 5 51 341 1237655375184068949
248.677318091786 40.9302058630886 19.64689 18.69571 18.41765 18.31811 18.30667 0.02097004 0 0 2305 301 4 48 314 1237655374647001402
247.795829098804 41.6542535579851 20.6941 19.97459 19.6981 19.66009 19.5595 0.01195147 0 0 2305 301 4 42 150 1237655374646608022
247.037337927504 40.5693953671421 21.06399 20.2158 19.90738 19.78208 19.64943 0.01678966 0 0 2305 301 1 45 411 1237655373036192155
246.349915333985 44.3664592992407 19.61615 18.66597 18.31124 18.21966 18.17588 0.02311705 0 0 2299 301 6 315 282 1237655349968437530
246.348940560625 44.5770439754465 18.93899 18.03924 17.74505 17.64746 17.62208 0.02303227 1.612452 -172.875 2299 301 6 314 188 1237655349968371900
249.083199841632 43.15514737893 21.14637 20.14425 19.86406 19.69541 19.63761 0.02797858 0.8246211 75.96375 2248 301 4 138 206 1237655129839763662
249.464454318069 44.5904191453961 19.53063 18.63045 18.34421 18.21019 18.20178 0.02841876 1.264911 -161.565 1345 301 6 629 243 1237651252590215411
249.453973753619 44.6035228619886 19.90602 18.90498 18.60301 18.49391 18.48236 0.02828983 0.2828427 -45 1345 301 6 629 239 1237651252590215407
249.467192463514 44.0229798888323 19.24511 18.23661 17.92499 17.81046 17.74011 0.02705892 0.8944272 -153.435 1345 301 5 632 132 1237651252053540996
249.466035689151 44.0976564997022 18.47991 17.39767 17.06665 16.95886 16.95129 0.02689972 0 0 1345 301 5 632 69 1237651252053540933
249.454726278916 43.2258754787071 19.64405 18.68395 18.4089 18.33825 18.32126 0.02556935 0 0 1345 301 4 637 238 1237651251516997870
249.073424508854 43.5922828204716 21.2626 20.23199 19.94488 19.89938 19.73402 0.02306389 0 0 1345 301 4 634 477 1237651251516801501
247.790175857879 44.8245558745379 20.56466 19.54208 19.24905 19.15092 19.09146 0.0267564 1.077033 -21.80141 1345 301 4 623 261 1237651251516080389
242.121830005596 40.4047702828291 20.54778 19.55711 19.2472 19.16775 19.03754 0.02541368 0 0 3705 301 3 260 260 1237661387078238468
241.324299210812 40.317654925061 20.54765 19.55713 19.22701 19.13812 19.13668 0.02832292 0 0 3705 301 2 258 227 1237661386541236451
243.162236563362 43.3238286788371 20.17967 19.34039 19.05804 18.93749 18.89682 0.024616 0 0 3226 301 5 68 389 1237659330850062725
243.170946561617 42.4616472760246 19.13199 18.1761 17.89025 17.75887 17.75188 0.03405815 0 0 3226 301 4 72 240 1237659330313453808
243.161310575107 42.5037169475707 19.33739 18.42284 18.20539 18.11653 18.0781 0.0389213 0 0 3226 301 4 72 216 1237659330313453784
243.16106018393 42.6427725158148 20.90256 20.11181 19.82896 19.67652 19.70211 0.03643924 0 0 3226 301 4 71 407 1237659330313388439
240.648450753624 44.3480200528566 20.00821 19.07232 18.82764 18.7473 18.72031 0.02589991 0 0 3226 301 4 55 140 1237659330312339596
246.336996447792 42.9466099627604 20.12503 19.18723 18.98272 18.87361 18.93236 0.01934773 0 0 2328 301 4 30 210 1237655473430069458
246.08879375481 43.0009602040104 19.9426 18.93661 18.61421 18.42652 18.35372 0.02262522 0 0 2328 301 4 29 291 1237655473430004003
245.496575370784 43.5275204918395 18.52614 17.56106 17.25945 17.152 17.13423 0.02922266 0 0 2328 301 4 24 115 1237655473429676147
247.80195313328 44.4423570830928 20.71538 19.72118 19.42868 19.32344 19.28526 0.02157826 0 0 2248 301 4 127 224 1237655129839042784
247.794003820557 44.6819527993481 18.98935 18.14221 17.88117 17.86136 17.82221 0.02696006 1.019804 -101.3099 2248 301 4 126 53 1237655129838977077
244.147655522834 42.9994933792244 19.43477 18.52822 18.23576 18.15527 18.08981 0.03019636 0.7211103 -33.69007 4629 301 5 189 342 1237665356697108822
247.799862904219 42.9712640648325 20.84005 19.80942 19.50367 19.34559 19.34503 0.01216903 0 0 2328 301 6 34 327 1237655474504073543
248.683707733664 40.5050447173005 20.3648 19.50048 19.2644 19.15073 19.1588 0.01468526 0 0 2328 301 4 50 271 1237655473431380239
247.79828405077 41.4163645491096 18.91169 18.03332 17.77263 17.69747 17.71061 0.02247412 0.8246211 -14.03624 2328 301 4 43 21 1237655473430921237
247.047498384573 42.0415283467686 19.67705 18.7399 18.39474 18.28747 18.26736 0.01628764 0 0 2328 301 4 37 245 1237655473430528245
246.082327978234 42.2671747294784 20.93731 19.98509 19.65907 19.54728 19.49708 0.01748614 0 0 2328 301 3 33 183 1237655472893395127
245.492632119936 44.1162906685781 19.42485 18.55337 18.27899 18.18447 18.0992 0.02201745 1.280625 -38.65981 2326 301 5 324 260 1237655465396273412
249.46066431217 40.237121811675 18.21593 17.25421 17.00047 16.88596 16.86567 0.02640245 1.456022 -164.0546 2305 301 4 54 177 1237655374647394481
240.482937524296 42.3324293026635 20.68624 19.78224 19.47253 19.35581 19.33742 0.03234255 0 0 3187 301 5 92 167 1237659163347910823
240.478905714572 42.2555441136386 20.39131 19.53239 19.31338 19.18305 19.1906 0.0332824 0 0 3187 301 5 92 229 1237659163347910885
241.920028787859 41.6972818979647 21.21663 20.15384 19.84805 19.71908 19.84301 0.0217428 0 0 3705 301 5 253 287 1237661388151521567
244.046115209971 43.6137667085639 19.41366 19.49632 19.24126 19.25887 19.39841 0.02637632 1.077033 21.80141 4629 301 5 193 163 1237665356697370787
240.286212344333 40.7973510324807 21.17406 20.22062 19.9334 19.82503 19.75224 0.03107514 0 0 3187 301 2 98 264 1237659161737691400
245.507961550291 42.2134533832136 18.60777 17.62007 17.31764 17.21107 17.18176 0.02494528 1.341641 -63.43495 3225 301 6 219 81 1237659327101861969
244.284666076778 43.140879160079 19.69695 18.69267 18.36644 18.2625 18.22487 0.03240705 0 0 3225 301 6 210 276 1237659327101272340
240.285152764349 42.4937620341978 18.93242 18.64965 18.34141 18.0968 18.09328 0.0398323 0 0 3187 301 5 90 98 1237659163347779682
248.866430646734 41.4016458460678 21.18469 20.33608 19.99154 19.9243 19.90879 0.01297975 0 0 2305 301 5 46 342 1237655375183741270
248.865396673013 41.473101534609 20.02298 19.02497 18.6789 18.56595 18.48387 0.0140947 0 0 2305 301 5 46 281 1237655375183741209
247.84431668572 42.2828607330876 18.68669 17.65504 17.31316 17.21116 17.11942 0.01982921 0.7211103 -146.3099 2305 301 5 39 4 1237655375183282180
248.864847100245 40.7090459297769 19.20711 18.36329 18.13622 18.04453 18.02922 0.01754053 0.8485281 -45 2305 301 4 50 172 1237655374647132332
248.700354432539 41.0885814040917 19.39312 18.39473 18.06733 17.94765 17.91796 0.01540086 0 0 2305 301 4 47 432 1237655374646935984
247.83791384886 40.3101646790753 20.77299 19.82819 19.57577 19.56118 19.57232 0.02312814 0 0 2305 301 2 49 332 1237655373573325132
247.615141596881 40.5751246216762 20.79134 19.92183 19.57522 19.4008 19.4866 0.02118983 0 0 2305 301 2 47 258 1237655373573193986
244.289734825152 44.1693321743762 20.11444 19.13267 18.87166 18.76237 18.73281 0.0307556 0 0 2299 301 3 310 296 1237655348357497128
244.036359340102 44.3784426476374 20.73827 19.68522 19.37836 19.29044 19.1838 0.02543822 0 0 2299 301 3 308 270 1237655348357366030
245.72624972567 43.6831903533981 21.07443 20.18341 19.91225 19.80942 19.70895 0.0346171 0 0 4629 301 2 194 407 1237665355086823831
245.722764549045 41.7963933800161 18.7318 17.75947 17.46498 17.30292 17.28856 0.01949706 1.280625 -141.3402 4629 301 2 181 130 1237665355085971586
242.006590997906 41.5172070141789 21.15738 19.9265 19.62015 19.53505 19.46617 0.0217406 0 0 3705 301 5 255 158 1237661388151652510
